rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
food_court → doctors,food_court,doctors,0.4,0.087,1.61,0.829,0.87,0.0203,75,1979,65
food_court → optician,food_court,optician,0.453,0.072,4.65,0.76,0.72,0.0202,75,776,54
pharmacy → bakery,pharmacy,bakery,0.471,0.069,1.81,0.751,0.69,0.0202,1593,2065,1094
clothes → mobile_phone_shop,clothes,mobile_phone_shop,0.402,0.082,8.76,0.779,0.82,0.0202,3601,365,2965
taxi → pharmacy,taxi,pharmacy,0.48,0.067,2.4,0.755,0.67,0.02,202,1593,135
chemist → pharmacy,chemist,pharmacy,0.457,0.067,2.28,0.7,0.67,0.02,359,1593,242
optician → florist,optician,florist,0.483,0.066,4.04,0.764,0.66,0.0197,776,953,512
jeweller → kiosk,jeweller,kiosk,0.462,0.07,3.18,0.775,0.7,0.0197,842,1156,586
shoe_shop → bookshop,shoe_shop,bookshop,0.434,0.074,7.92,0.775,0.74,0.0196,710,436,524
taxi → bakery,taxi,bakery,0.465,0.068,1.79,0.779,0.68,0.0193,202,2065,137
toy_shop → optician,toy_shop,optician,0.39,0.083,4.0,0.806,0.83,0.0192,218,776,180
shoe_shop → travel_agent,shoe_shop,travel_agent,0.444,0.071,7.68,0.783,0.71,0.0191,710,460,502
newsagent → doctors,newsagent,doctors,0.385,0.085,1.55,0.832,0.85,0.0191,239,1979,203
food_court → florist,food_court,florist,0.48,0.063,4.01,0.729,0.63,0.0191,75,953,47
beauty_shop → bakery,beauty_shop,bakery,0.454,0.069,1.75,0.786,0.69,0.0189,1258,2065,864
toy_shop → beauty_shop,toy_shop,beauty_shop,0.404,0.077,2.55,0.781,0.77,0.0188,218,1258,167
stationery → doctors,stationery,doctors,0.386,0.083,1.55,0.824,0.83,0.0187,249,1979,206
beauty_shop → pharmacy,beauty_shop,pharmacy,0.448,0.068,2.24,0.788,0.68,0.0185,1258,1593,858
fast_food → pharmacy,fast_food,pharmacy,0.435,0.069,2.17,0.79,0.69,0.0182,2688,1593,1865
clothes → travel_agent,clothes,travel_agent,0.438,0.069,7.59,0.791,0.69,0.0182,3601,460,2469
chemist → bakery,chemist,bakery,0.457,0.065,1.76,0.783,0.65,0.018,359,2065,232
clothes → florist,clothes,florist,0.464,0.063,3.87,0.789,0.63,0.0176,3601,953,2254
travel_agent → kiosk,travel_agent,kiosk,0.441,0.064,3.04,0.769,0.64,0.0174,460,1156,295
beauty_shop → jeweller,beauty_shop,jeweller,0.346,0.084,3.27,0.816,0.84,0.0173,1258,842,1062
newsagent → optician,newsagent,optician,0.435,0.065,4.46,0.794,0.65,0.0171,239,776,156
newsagent → beauty_shop,newsagent,beauty_shop,0.41,0.069,2.59,0.802,0.69,0.017,239,1258,165
butcher → bakery,butcher,bakery,0.454,0.06,1.75,0.744,0.6,0.017,724,2065,431
food_court → travel_agent,food_court,travel_agent,0.44,0.063,7.61,0.773,0.63,0.0169,75,460,47
cafe → bakery,cafe,bakery,0.427,0.063,1.65,0.742,0.63,0.0168,3316,2065,2078
gift_shop → optician,gift_shop,optician,0.353,0.08,3.62,0.82,0.8,0.0167,496,776,398
shoe_shop → florist,shoe_shop,florist,0.448,0.062,3.74,0.792,0.62,0.0167,710,953,439
kiosk → pharmacy,kiosk,pharmacy,0.429,0.062,2.14,0.745,0.62,0.0166,1156,1593,715
laundry → beauty_shop,laundry,beauty_shop,0.386,0.071,2.44,0.782,0.71,0.0166,428,1258,303
taxi → railway_station,taxi,railway_station,0.485,0.052,3.15,0.699,0.52,0.0166,202,1226,106
clothes → kiosk,clothes,kiosk,0.438,0.062,3.02,0.792,0.62,0.0165,3601,1156,2242
gift_shop → beauty_shop,gift_shop,beauty_shop,0.369,0.074,2.33,0.802,0.74,0.0164,496,1258,368
video_shop → post_office,video_shop,post_office,0.5,0.05,2.96,0.7,0.5,0.0162,8,1345,4
optician → bookshop,optician,bookshop,0.416,0.065,7.6,0.812,0.65,0.0162,776,436,507
video_shop → gift_shop,video_shop,gift_shop,0.375,0.075,6.02,0.854,0.75,0.0161,8,496,6
fast_food → beauty_shop,fast_food,beauty_shop,0.365,0.075,2.31,0.816,0.75,0.0161,2688,1258,2011
food_court → bakery,food_court,bakery,0.413,0.064,1.59,0.787,0.64,0.016,75,2065,48
outdoor_shop → jeweller,outdoor_shop,jeweller,0.312,0.088,2.95,0.834,0.88,0.016,141,842,124
