rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
kindergarten → tree,kindergarten,tree,0.602,1.0,0.6,0.612,22.72,0.4179,1337,899340,30373
car_rental → tree,car_rental,tree,0.603,1.0,0.6,0.614,17.44,0.4177,287,899340,5006
restaurant → tree,restaurant,tree,0.599,1.0,0.6,0.614,18.21,0.4153,14682,899340,267295
mobile_phone_shop → restaurant,mobile_phone_shop,restaurant,0.926,0.551,0.93,0.377,5.51,0.4137,365,14682,2010
mall → tree,mall,tree,0.605,1.0,0.6,0.636,16.35,0.4124,43,899340,703
butcher → tree,butcher,tree,0.598,1.0,0.6,0.625,15.52,0.4113,724,899340,11240
pitch → tree,pitch,tree,0.585,1.0,0.59,0.599,20.48,0.41,7084,899340,145096
video_shop → tree,video_shop,tree,0.625,1.0,0.62,0.696,18.62,0.4075,8,899340,149
muslim → tree,muslim,tree,0.6,1.0,0.6,0.649,20.83,0.4054,35,899340,729
artwork → bench,artwork,bench,0.704,0.773,0.7,0.517,7.73,0.4034,3144,88411,24314
optician → clothes,optician,clothes,0.793,0.651,1.75,0.443,6.51,0.4015,776,3601,5049
supermarket → tree,supermarket,tree,0.586,1.0,0.59,0.653,15.9,0.3946,3462,899340,55037
clothes → bench,clothes,bench,0.76,0.736,0.76,0.606,7.36,0.3897,3601,88411,26501
greengrocer → tree,greengrocer,tree,0.579,1.0,0.58,0.656,15.21,0.389,95,899340,1445
school → tree,school,tree,0.573,1.0,0.57,0.645,16.52,0.3881,1257,899340,20765
bicycle_shop → tree,bicycle_shop,tree,0.57,1.0,0.57,0.646,18.52,0.3857,1276,899340,23627
gift_shop → bench,gift_shop,bench,0.75,0.708,0.75,0.578,7.08,0.3774,496,88411,3511
post_box → tree,post_box,tree,0.551,1.0,0.55,0.63,15.99,0.3771,7934,899340,126855
video_shop → restaurant,video_shop,restaurant,0.875,0.562,0.88,0.478,5.62,0.3746,8,14682,45
memorial → tree,memorial,tree,0.534,1.0,0.53,0.606,16.23,0.3725,1102,899340,17888
outdoor_shop → tree,outdoor_shop,tree,0.546,1.0,0.55,0.655,20.45,0.3672,141,899340,2883
doityourself → tree,doityourself,tree,0.554,1.0,0.55,0.682,16.07,0.3655,469,899340,7537
post_office → tree,post_office,tree,0.548,1.0,0.55,0.666,13.0,0.3655,1345,899340,17484
gift_shop → restaurant,gift_shop,restaurant,0.849,0.542,0.85,0.411,5.42,0.3653,496,14682,2686
veterinary → tree,veterinary,tree,0.544,1.0,0.54,0.666,15.41,0.3626,320,899340,4930
stadium → tree,stadium,tree,0.6,0.84,0.6,0.563,8.4,0.362,5,899340,42
playground → tree,playground,tree,0.533,1.0,0.53,0.642,18.09,0.362,4069,899340,73589
travel_agent → bench,travel_agent,bench,0.772,0.664,0.77,0.605,6.64,0.3576,460,88411,3056
food_court → bench,food_court,bench,0.747,0.683,0.75,0.605,6.83,0.3556,75,88411,512
ferry_terminal → bench,ferry_terminal,bench,0.692,0.684,0.69,0.502,6.84,0.3547,471,88411,3223
tower → tree,tower,tree,0.518,1.0,0.52,0.639,15.8,0.3523,558,899340,8818
tram_stop → bench,tram_stop,bench,0.729,0.627,0.73,0.466,6.27,0.3505,1241,88411,7775
bookshop → clothes,bookshop,clothes,0.759,0.612,1.68,0.496,6.12,0.3493,436,3601,2668
newsagent → bench,newsagent,bench,0.782,0.605,0.78,0.528,6.05,0.3482,239,88411,1445
bench → tree,bench,tree,0.509,1.0,0.51,0.635,16.75,0.3472,88411,899340,1480522
travel_agent → restaurant,travel_agent,restaurant,0.848,0.52,0.85,0.432,5.2,0.3455,460,14682,2391
bus_station → tree,bus_station,tree,0.509,1.0,0.51,0.644,11.91,0.3452,55,899340,655
bookshop → bench,bookshop,bench,0.766,0.654,0.77,0.624,6.54,0.3447,436,88411,2851
optician → bench,optician,bench,0.738,0.648,0.74,0.621,6.48,0.33,776,88411,5029
beauty_shop → bench,beauty_shop,bench,0.744,0.642,0.74,0.62,6.42,0.3296,1258,88411,8074
park → tree,park,tree,0.49,1.0,0.49,0.655,10.72,0.3293,96,899340,1029
sports_centre → tree,sports_centre,tree,0.494,1.0,0.49,0.7,14.92,0.3212,779,899340,11620
town_hall → tree,town_hall,tree,0.5,0.951,0.5,0.683,9.51,0.3132,574,899340,5460
swimming_pool → tree,swimming_pool,tree,0.469,1.0,0.47,0.68,13.5,0.3092,143,899340,1930
market_place → restaurant,market_place,restaurant,0.814,0.504,0.81,0.507,5.04,0.3064,140,14682,706
bus_station → bus_stop,bus_station,bus_stop,0.836,0.418,0.84,0.254,4.18,0.3054,55,36434,230
bicycle_rental → bench,bicycle_rental,bench,0.689,0.621,0.69,0.586,6.21,0.3027,923,88411,5736
cinema → restaurant,cinema,restaurant,0.838,0.467,0.84,0.452,4.67,0.3025,234,14682,1092
shoe_shop → bench,shoe_shop,bench,0.677,0.639,0.68,0.641,6.39,0.294,710,88411,4534
sports_shop → tree,sports_shop,tree,0.461,1.0,0.46,0.734,11.79,0.2918,868,899340,10238
public_building → tree,public_building,tree,0.444,1.0,0.44,0.688,22.74,0.2916,27,899340,614
buddhist → tree,buddhist,tree,0.571,0.857,0.57,0.816,8.57,0.2899,7,899340,60
hotel → tree,hotel,tree,0.453,1.0,0.45,0.724,10.28,0.289,2489,899340,25578
railway_station → tree,railway_station,tree,0.491,0.893,0.49,0.689,8.93,0.2874,1226,899340,10944
monument → tree,monument,tree,0.442,1.0,0.44,0.7,15.6,0.2874,233,899340,3634
stationery → restaurant,stationery,restaurant,0.876,0.426,0.88,0.46,4.26,0.2872,249,14682,1061
car_dealership → tree,car_dealership,tree,0.458,1.0,0.46,0.75,11.15,0.2866,1021,899340,11381
travel_agent → clothes,travel_agent,clothes,0.698,0.537,1.54,0.528,5.37,0.2757,460,3601,2469
bar → restaurant,bar,restaurant,0.77,0.467,0.77,0.475,4.67,0.274,2240,14682,10457
pub → restaurant,pub,restaurant,0.77,0.466,0.77,0.486,4.66,0.2718,725,14682,3381
bus_stop → tree,bus_stop,tree,0.421,1.0,0.42,0.73,10.81,0.2675,36434,899340,393726
