rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
memorial → bakery,memorial,bakery,0.119,0.015,0.46,0.952,0.15,0.0009,1102,2065,166
bicycle_rental → post_office,bicycle_rental,post_office,0.129,0.014,0.76,0.943,0.14,0.0009,923,1345,128
kindergarten → cafe,kindergarten,cafe,0.111,0.016,0.27,0.954,0.16,0.0009,1337,3316,212
pharmacy → playground,pharmacy,playground,0.121,0.014,0.24,0.96,0.14,0.0009,1593,4069,229
travel_agent → nightclub,travel_agent,nightclub,0.109,0.015,3.19,0.954,0.15,0.0009,460,271,70
park → artwork,park,artwork,0.094,0.018,0.24,0.958,0.18,0.0009,96,3144,17
department_store → post_office,department_store,post_office,0.131,0.013,0.77,0.962,0.13,0.0009,176,1345,23
department_store → beverages,department_store,beverages,0.119,0.014,2.21,0.957,0.14,0.0009,176,430,25
hairdresser → beverages,hairdresser,beverages,0.118,0.014,2.18,0.95,0.14,0.0009,4634,430,666
bench → camera_surveillance,bench,camera_surveillance,0.067,0.025,0.13,0.969,0.25,0.0009,88411,4037,22050
bicycle_rental → furniture_shop,bicycle_rental,furniture_shop,0.112,0.016,1.58,0.954,0.16,0.0009,923,562,147
computer_shop → chemist,computer_shop,chemist,0.126,0.013,2.8,0.956,0.13,0.0009,214,359,28
cinema → memorial,cinema,memorial,0.107,0.016,0.77,0.958,0.16,0.0009,234,1102,37
christian → supermarket,christian,supermarket,0.111,0.016,0.26,0.953,0.16,0.0009,413,3462,65
christian → camera_surveillance,christian,camera_surveillance,0.077,0.023,0.15,0.97,0.23,0.0009,413,4037,94
tree → post_box,tree,post_box,0.126,0.014,0.13,0.953,0.14,0.0009,899340,7934,126855
cafe → museum,cafe,museum,0.11,0.015,1.13,0.953,0.15,0.0009,3316,778,509
ice_rink → artwork,ice_rink,artwork,0.108,0.016,0.27,0.944,0.16,0.0009,37,3144,6
doityourself → furniture_shop,doityourself,furniture_shop,0.119,0.013,1.69,0.939,0.13,0.0009,469,562,63
cafe → playground,cafe,playground,0.12,0.015,0.24,0.955,0.15,0.0009,3316,4069,490
ice_rink → camera_surveillance,ice_rink,camera_surveillance,0.108,0.016,0.21,0.971,0.16,0.0009,37,4037,6
bar → cinema,bar,cinema,0.122,0.014,4.14,0.95,0.14,0.0009,2240,234,323
hairdresser → chemist,hairdresser,chemist,0.125,0.014,2.76,0.948,0.14,0.0009,4634,359,637
hairdresser → stationery,hairdresser,stationery,0.123,0.014,3.94,0.948,0.14,0.0009,4634,249,639
department_store → bicycle_rental,department_store,bicycle_rental,0.114,0.016,0.98,0.964,0.16,0.0009,176,923,28
hostel → pub,hostel,pub,0.113,0.015,1.24,0.948,0.15,0.0009,186,725,28
stationery → newsagent,stationery,newsagent,0.112,0.015,3.74,0.959,0.15,0.0009,249,239,37
bakery → library,bakery,library,0.127,0.014,0.95,0.955,0.14,0.0009,2065,1072,292
pharmacy → newsagent,pharmacy,newsagent,0.117,0.014,3.89,0.937,0.14,0.0009,1593,239,228
christian_protestant → theatre,christian_protestant,theatre,0.108,0.016,2.49,0.959,0.16,0.0009,37,346,6
christian_evangelical → bicycle_rental,christian_evangelical,bicycle_rental,0.119,0.015,1.03,0.947,0.15,0.0009,67,923,10
cinema → gift_shop,cinema,gift_shop,0.098,0.018,1.58,0.956,0.18,0.0009,234,496,41
butcher → travel_agent,butcher,travel_agent,0.116,0.015,2.01,0.948,0.15,0.0009,724,460,112
florist → stationery,florist,stationery,0.123,0.014,3.92,0.946,0.14,0.0009,953,249,129
theatre → school,theatre,school,0.124,0.013,0.79,0.947,0.13,0.0009,346,1257,46
fast_food → chemist,fast_food,chemist,0.12,0.014,2.66,0.949,0.14,0.0009,2688,359,366
school → bakery,school,bakery,0.12,0.015,0.46,0.96,0.15,0.0009,1257,2065,184
museum → pub,museum,pub,0.107,0.017,1.17,0.961,0.17,0.0009,778,725,131
bicycle_shop → optician,bicycle_shop,optician,0.11,0.016,1.13,0.954,0.16,0.0009,1276,776,209
water_mill → supermarket,water_mill,supermarket,0.122,0.015,0.28,0.959,0.15,0.0009,41,3462,6
mobile_phone_shop → nightclub,mobile_phone_shop,nightclub,0.11,0.015,3.22,0.957,0.15,0.0009,365,271,56
optician → nightclub,optician,nightclub,0.113,0.016,3.33,0.955,0.16,0.0009,776,271,121
library → playground,library,playground,0.118,0.014,0.23,0.954,0.14,0.0009,1072,4069,151
supermarket → sports_shop,supermarket,sports_shop,0.117,0.015,1.07,0.943,0.15,0.0009,3462,868,518
hotel → bookshop,hotel,bookshop,0.109,0.016,1.99,0.953,0.16,0.0009,2489,436,389
supermarket → bicycle_shop,supermarket,bicycle_shop,0.125,0.014,0.78,0.952,0.14,0.0009,3462,1276,482
laundry → gift_shop,laundry,gift_shop,0.114,0.015,1.84,0.95,0.15,0.0009,428,496,65
pharmacy → stationery,pharmacy,stationery,0.127,0.014,4.07,0.946,0.14,0.0009,1593,249,220
laundry → beverages,laundry,beverages,0.119,0.014,2.21,0.952,0.14,0.0009,428,430,59
arts_centre → playground,arts_centre,playground,0.125,0.015,0.24,0.968,0.15,0.0009,144,4069,21
bar → post_office,bar,post_office,0.128,0.013,0.76,0.95,0.13,0.0009,2240,1345,290
bus_station → nightclub,bus_station,nightclub,0.091,0.02,2.67,0.968,0.2,0.0009,55,271,11
sports_shop → post_office,sports_shop,post_office,0.13,0.014,0.77,0.947,0.14,0.0009,868,1345,118
bar → theatre,bar,theatre,0.118,0.015,2.71,0.956,0.15,0.0009,2240,346,339
video_shop → doityourself,video_shop,doityourself,0.125,0.012,2.12,0.88,0.12,0.0009,8,469,1
mobile_phone_shop → pitch,mobile_phone_shop,pitch,0.115,0.015,0.13,0.968,0.15,0.0009,365,7084,54
fast_food → nightclub,fast_food,nightclub,0.099,0.017,2.92,0.957,0.17,0.0009,2688,271,463
greengrocer → playground,greengrocer,playground,0.116,0.015,0.23,0.955,0.15,0.0009,95,4069,14
computer_shop → library,computer_shop,library,0.126,0.013,0.94,0.958,0.13,0.0009,214,1072,28
supermarket → chemist,supermarket,chemist,0.123,0.014,2.73,0.932,0.14,0.0009,3462,359,469
monument → clothes,monument,clothes,0.064,0.028,0.14,0.974,0.28,0.0009,233,3601,65
mall → tram_stop,mall,tram_stop,0.093,0.019,0.6,0.965,0.19,0.0009,43,1241,8
butcher → dentist,butcher,dentist,0.116,0.014,1.43,0.949,0.14,0.0009,724,645,102
motel → bakery,motel,bakery,0.111,0.015,0.43,0.947,0.15,0.0009,27,2065,4
taxi → nightclub,taxi,nightclub,0.109,0.016,3.2,0.963,0.16,0.0009,202,271,32
christian_evangelical → jeweller,christian_evangelical,jeweller,0.104,0.016,0.99,0.962,0.16,0.0009,67,842,11
beverages → mobile_phone_shop,beverages,mobile_phone_shop,0.1,0.017,2.18,0.953,0.17,0.0009,430,365,74
arts_centre → butcher,arts_centre,butcher,0.132,0.013,1.45,0.953,0.13,0.0009,144,724,19
christian → convenience,christian,convenience,0.109,0.016,0.32,0.953,0.16,0.0009,413,2695,66
bookshop → market_place,bookshop,market_place,0.122,0.014,6.91,0.951,0.14,0.0009,436,140,62
jeweller → playground,jeweller,playground,0.127,0.014,0.25,0.955,0.14,0.0009,842,4069,119
christian_evangelical → shoe_shop,christian_evangelical,shoe_shop,0.09,0.019,1.0,0.976,0.19,0.0009,67,710,13
battlefield → attraction,battlefield,attraction,0.125,0.012,0.81,0.875,0.12,0.0009,8,1231,1
optician → memorial,optician,memorial,0.113,0.016,0.82,0.961,0.16,0.0009,776,1102,125
beverages → furniture_shop,beverages,furniture_shop,0.102,0.017,1.45,0.95,0.17,0.0009,430,562,73
bicycle_shop → artwork,bicycle_shop,artwork,0.107,0.016,0.27,0.962,0.16,0.0009,1276,3144,205
optician → school,optician,school,0.122,0.014,0.78,0.96,0.14,0.0009,776,1257,107
jeweller → computer_shop,jeweller,computer_shop,0.125,0.014,4.64,0.955,0.14,0.0009,842,214,117
supermarket → tram_stop,supermarket,tram_stop,0.086,0.02,0.55,0.958,0.2,0.0009,3462,1241,677
christian_evangelical → optician,christian_evangelical,optician,0.104,0.016,1.07,0.972,0.16,0.0009,67,776,11
shoe_shop → market_place,shoe_shop,market_place,0.107,0.016,6.08,0.961,0.16,0.0009,710,140,113
chemist → laundry,chemist,laundry,0.123,0.013,2.28,0.945,0.13,0.0009,359,428,48
library → post_office,library,post_office,0.131,0.013,0.77,0.945,0.13,0.0009,1072,1345,142
clothes → playground,clothes,playground,0.122,0.014,0.24,0.959,0.14,0.0009,3601,4069,503
computer_shop → bicycle_rental,computer_shop,bicycle_rental,0.126,0.013,1.09,0.955,0.13,0.0009,214,923,28
food_court → gift_shop,food_court,gift_shop,0.12,0.015,1.93,0.946,0.15,0.0009,75,496,11
butcher → gift_shop,butcher,gift_shop,0.102,0.016,1.64,0.949,0.16,0.0009,724,496,117
food_court → pitch,food_court,pitch,0.12,0.015,0.13,0.972,0.15,0.0009,75,7084,11
clinic → pub,clinic,pub,0.114,0.015,1.25,0.955,0.15,0.0009,246,725,36
community_centre → tram_stop,community_centre,tram_stop,0.095,0.019,0.61,0.962,0.19,0.0009,410,1241,76
convenience → railway_station,convenience,railway_station,0.128,0.014,0.83,0.924,0.14,0.0009,2695,1226,364
nightclub → memorial,nightclub,memorial,0.103,0.016,0.75,0.966,0.16,0.0009,271,1102,44
clinic → railway_station,clinic,railway_station,0.122,0.013,0.79,0.957,0.13,0.0009,246,1226,33
cinema → pitch,cinema,pitch,0.111,0.016,0.12,0.958,0.16,0.0009,234,7084,38
college → outdoor_shop,college,outdoor_shop,0.104,0.017,5.88,0.957,0.17,0.0009,144,141,25
food_court → furniture_shop,food_court,furniture_shop,0.12,0.015,1.7,0.934,0.15,0.0009,75,562,11
nursing_home → cafe,nursing_home,cafe,0.104,0.017,0.25,0.958,0.17,0.0009,48,3316,8
outdoor_shop → furniture_shop,outdoor_shop,furniture_shop,0.106,0.016,1.51,0.961,0.16,0.0009,141,562,22
community_centre → jeweller,community_centre,jeweller,0.09,0.02,0.85,0.961,0.2,0.0009,410,842,82
artwork → supermarket,artwork,supermarket,0.111,0.016,0.25,0.958,0.16,0.0009,3144,3462,492
ferry_terminal → bar,ferry_terminal,bar,0.106,0.016,0.38,0.958,0.16,0.0009,471,2240,75
outdoor_shop → college,outdoor_shop,college,0.099,0.018,5.49,0.953,0.18,0.0009,141,144,25
ice_rink → supermarket,ice_rink,supermarket,0.108,0.016,0.25,0.976,0.16,0.0009,37,3462,6
outdoor_shop → pitch,outdoor_shop,pitch,0.128,0.013,0.14,0.954,0.13,0.0009,141,7084,19
jeweller → outdoor_shop,jeweller,outdoor_shop,0.112,0.015,6.3,0.954,0.15,0.0009,842,141,124
artwork → bicycle_rental,artwork,bicycle_rental,0.125,0.013,1.08,0.943,0.13,0.0009,3144,923,421
outdoor_shop → post_office,outdoor_shop,post_office,0.121,0.014,0.71,0.938,0.14,0.0009,141,1345,20
food_court → pub,food_court,pub,0.107,0.016,1.17,0.971,0.16,0.0009,75,725,12
clinic → mobile_phone_shop,clinic,mobile_phone_shop,0.106,0.017,2.3,0.963,0.17,0.0009,246,365,42
attraction → picnic_site,attraction,picnic_site,0.115,0.014,0.19,0.942,0.14,0.0009,1231,4863,177
video_shop → dentist,video_shop,dentist,0.125,0.012,1.54,0.891,0.12,0.0009,8,645,1
restaurant → sports_shop,restaurant,sports_shop,0.108,0.016,0.99,0.952,0.16,0.0009,14682,868,2290
library → kiosk,library,kiosk,0.116,0.014,0.8,0.955,0.14,0.0009,1072,1156,155
bus_stop → supermarket,bus_stop,supermarket,0.111,0.015,0.25,0.95,0.15,0.0009,36434,3462,5542
muslim_sunni → clothes,muslim_sunni,clothes,0.091,0.018,0.2,0.958,0.18,0.0009,11,3601,2
attraction → cafe,attraction,cafe,0.097,0.017,0.23,0.957,0.17,0.0009,1231,3316,212
college → optician,college,optician,0.118,0.014,1.21,0.95,0.14,0.0009,144,776,20
library → optician,library,optician,0.108,0.016,1.11,0.961,0.16,0.0009,1072,776,171
clothes → computer_shop,clothes,computer_shop,0.122,0.013,4.54,0.952,0.13,0.0009,3601,214,480
outdoor_shop → school,outdoor_shop,school,0.113,0.014,0.72,0.942,0.14,0.0009,141,1257,20
hostel → fast_food,hostel,fast_food,0.086,0.017,0.25,0.956,0.17,0.0008,186,2688,32
hospital → bakery,hospital,bakery,0.125,0.012,0.48,0.927,0.12,0.0008,24,2065,3
stationery → playground,stationery,playground,0.112,0.013,0.22,0.957,0.13,0.0008,249,4069,33
bench → playground,bench,playground,0.106,0.014,0.21,0.948,0.14,0.0008,88411,4069,12721
bar → memorial,bar,memorial,0.102,0.015,0.74,0.961,0.15,0.0008,2240,1102,329
hotel → florist,hotel,florist,0.116,0.014,0.97,0.954,0.14,0.0008,2489,953,340
doityourself → hotel,doityourself,hotel,0.098,0.015,0.31,0.957,0.15,0.0008,469,2489,69
arts_centre → school,arts_centre,school,0.118,0.013,0.75,0.957,0.13,0.0008,144,1257,19
travel_agent → taxi,travel_agent,taxi,0.12,0.013,4.71,0.958,0.13,0.0008,460,202,58
railway_station → bar,railway_station,bar,0.102,0.014,0.36,0.959,0.14,0.0008,1226,2240,174
biergarten → convenience,biergarten,convenience,0.123,0.012,0.36,0.952,0.12,0.0008,57,2695,7
mall → bicycle_shop,mall,bicycle_shop,0.116,0.014,0.73,0.965,0.14,0.0008,43,1276,6
hostel → convenience,hostel,convenience,0.118,0.013,0.35,0.947,0.13,0.0008,186,2695,25
hospital → artwork,hospital,artwork,0.125,0.012,0.32,0.943,0.12,0.0008,24,3144,3
hospital → playground,hospital,playground,0.125,0.012,0.24,0.959,0.12,0.0008,24,4069,3
nightclub → museum,nightclub,museum,0.1,0.015,1.02,0.95,0.15,0.0008,271,778,40
muslim_sunni → car_dealership,muslim_sunni,car_dealership,0.091,0.018,0.71,0.991,0.18,0.0008,11,1021,2
hotel → travel_agent,hotel,travel_agent,0.101,0.015,1.74,0.957,0.15,0.0008,2489,460,366
gift_shop → laundry,gift_shop,laundry,0.117,0.013,2.17,0.954,0.13,0.0008,496,428,65
college → kindergarten,college,kindergarten,0.104,0.015,0.62,0.958,0.15,0.0008,144,1337,22
computer_shop → tram_stop,computer_shop,tram_stop,0.089,0.018,0.57,0.967,0.18,0.0008,214,1241,38
hotel → bicycle_shop,hotel,bicycle_shop,0.114,0.013,0.71,0.951,0.13,0.0008,2489,1276,317
hospital → cafe,hospital,cafe,0.125,0.012,0.3,0.959,0.12,0.0008,24,3316,3
sports_centre → bar,sports_centre,bar,0.1,0.016,0.36,0.956,0.16,0.0008,779,2240,124
camera_surveillance → railway_station,camera_surveillance,railway_station,0.124,0.013,0.8,0.944,0.13,0.0008,4037,1226,524
biergarten → bakery,biergarten,bakery,0.105,0.014,0.41,0.953,0.14,0.0008,57,2065,8
gift_shop → playground,gift_shop,playground,0.111,0.014,0.22,0.957,0.14,0.0008,496,4069,69
garden_centre → cafe,garden_centre,cafe,0.085,0.018,0.2,0.947,0.18,0.0008,153,3316,27
christian → hotel,christian,hotel,0.097,0.016,0.31,0.96,0.16,0.0008,413,2489,65
track → pitch,track,pitch,0.074,0.022,0.08,0.97,0.22,0.0008,27,7084,6
college → shoe_shop,college,shoe_shop,0.097,0.017,1.09,0.964,0.17,0.0008,144,710,24
college → sports_shop,college,sports_shop,0.097,0.016,0.89,0.961,0.16,0.0008,144,868,23
bicycle_shop → jeweller,bicycle_shop,jeweller,0.09,0.017,0.85,0.962,0.17,0.0008,1276,842,213
water_mill → sports_shop,water_mill,sports_shop,0.098,0.015,0.89,0.944,0.15,0.0008,41,868,6
arts_centre → florist,arts_centre,florist,0.104,0.014,0.87,0.959,0.14,0.0008,144,953,20
outdoor_shop → beverages,outdoor_shop,beverages,0.121,0.013,2.23,0.954,0.13,0.0008,141,430,19
christian → beauty_shop,christian,beauty_shop,0.097,0.015,0.61,0.959,0.15,0.0008,413,1258,63
fast_food → cinema,fast_food,cinema,0.112,0.014,3.8,0.956,0.14,0.0008,2688,234,387
laundry → kindergarten,laundry,kindergarten,0.114,0.013,0.68,0.961,0.13,0.0008,428,1337,55
swimming_pool → hotel,swimming_pool,hotel,0.084,0.018,0.27,0.942,0.18,0.0008,143,2489,26
supermarket → artwork,supermarket,artwork,0.105,0.014,0.27,0.961,0.14,0.0008,3462,3144,492
mobile_phone_shop → market_place,mobile_phone_shop,market_place,0.101,0.015,5.76,0.961,0.15,0.0008,365,140,55
school → library,school,library,0.118,0.012,0.87,0.939,0.12,0.0008,1257,1072,157
school → doctors,school,doctors,0.084,0.018,0.34,0.961,0.18,0.0008,1257,1979,223
fast_food → school,fast_food,school,0.113,0.013,0.72,0.959,0.13,0.0008,2688,1257,361
fast_food → stationery,fast_food,stationery,0.116,0.013,3.71,0.951,0.13,0.0008,2688,249,348
school → bar,school,bar,0.089,0.018,0.32,0.964,0.18,0.0008,1257,2240,229
supermarket → playground,supermarket,playground,0.109,0.013,0.21,0.961,0.13,0.0008,3462,4069,460
fast_food → playground,fast_food,playground,0.112,0.013,0.22,0.963,0.13,0.0008,2688,4069,360
florist → playground,florist,playground,0.113,0.014,0.22,0.961,0.14,0.0008,953,4069,130
doctors → chemist,doctors,chemist,0.114,0.013,2.53,0.947,0.13,0.0008,1979,359,261
video_shop → car_rental,video_shop,car_rental,0.125,0.012,3.47,0.985,0.12,0.0008,8,287,1
post_office → playground,post_office,playground,0.115,0.013,0.23,0.959,0.13,0.0008,1345,4069,177
optician → railway_station,optician,railway_station,0.122,0.013,0.79,0.964,0.13,0.0008,776,1226,100
post_office → butcher,post_office,butcher,0.123,0.013,1.35,0.94,0.13,0.0008,1345,724,173
bus_station → bookshop,bus_station,bookshop,0.109,0.015,1.99,0.943,0.15,0.0008,55,436,8
beverages → bicycle_rental,beverages,bicycle_rental,0.105,0.014,0.9,0.955,0.14,0.0008,430,923,59
bus_stop → cafe,bus_stop,cafe,0.093,0.016,0.22,0.956,0.16,0.0008,36434,3316,5685
kiosk → library,kiosk,library,0.121,0.013,0.9,0.956,0.13,0.0008,1156,1072,155
christian → bakery,christian,bakery,0.104,0.014,0.4,0.955,0.14,0.0008,413,2065,58
beverages → laundry,beverages,laundry,0.109,0.014,2.03,0.952,0.14,0.0008,430,428,59
cafe → laundry,cafe,laundry,0.112,0.014,2.09,0.95,0.14,0.0008,3316,428,451
attraction → playground,attraction,playground,0.106,0.014,0.21,0.95,0.14,0.0008,1231,4069,171
park → pitch,park,pitch,0.115,0.012,0.13,0.945,0.12,0.0008,96,7084,12
car_rental → bicycle_rental,car_rental,bicycle_rental,0.118,0.013,1.02,0.944,0.13,0.0008,287,923,38
doctors → playground,doctors,playground,0.109,0.014,0.21,0.961,0.14,0.0008,1979,4069,279
optician → theatre,optician,theatre,0.113,0.014,2.61,0.956,0.14,0.0008,776,346,110
town_hall → artwork,town_hall,artwork,0.08,0.019,0.2,0.962,0.19,0.0008,574,3144,107
supermarket → travel_agent,supermarket,travel_agent,0.104,0.014,1.79,0.952,0.14,0.0008,3462,460,486
video_shop → memorial,video_shop,memorial,0.125,0.012,0.9,0.997,0.12,0.0008,8,1102,1
video_shop → viewpoint,video_shop,viewpoint,0.125,0.012,0.24,0.976,0.12,0.0008,8,4066,1
video_shop → greengrocer,video_shop,greengrocer,0.125,0.012,10.47,0.914,0.12,0.0008,8,95,1
video_shop → bus_station,video_shop,bus_station,0.125,0.012,12.5,0.94,0.12,0.0008,8,55,1
video_shop → christian_protestant,video_shop,christian_protestant,0.125,0.012,12.5,0.973,0.12,0.0008,8,37,1
video_shop → college,video_shop,college,0.125,0.012,6.91,0.989,0.12,0.0008,8,144,1
video_shop → newsagent,video_shop,newsagent,0.125,0.012,4.16,0.98,0.12,0.0008,8,239,1
restaurant → bicycle_rental,restaurant,bicycle_rental,0.11,0.014,0.95,0.954,0.14,0.0008,14682,923,1990
video_shop → outdoor_shop,video_shop,outdoor_shop,0.125,0.012,7.05,0.986,0.12,0.0008,8,141,1
video_shop → market_place,video_shop,market_place,0.125,0.012,7.11,0.973,0.12,0.0008,8,140,1
cliff → tree,cliff,tree,0.042,0.035,0.04,0.986,0.35,0.0008,167,899340,59
video_shop → artwork,video_shop,artwork,0.125,0.012,0.32,0.965,0.12,0.0008,8,3144,1
video_shop → chemist,video_shop,chemist,0.125,0.012,2.77,0.944,0.12,0.0008,8,359,1
florist → library,florist,library,0.121,0.013,0.9,0.954,0.13,0.0008,953,1072,128
battlefield → post_box,battlefield,post_box,0.125,0.012,0.13,0.993,0.12,0.0008,8,7934,1
battlefield → memorial,battlefield,memorial,0.125,0.012,0.9,0.939,0.12,0.0008,8,1102,1
bookshop → taxi,bookshop,taxi,0.119,0.013,4.7,0.956,0.13,0.0008,436,202,56
stationery → theatre,stationery,theatre,0.112,0.014,2.59,0.951,0.14,0.0008,249,346,34
video_shop → christian,video_shop,christian,0.125,0.012,2.41,0.919,0.12,0.0008,8,413,1
battlefield → viewpoint,battlefield,viewpoint,0.125,0.012,0.24,0.973,0.12,0.0008,8,4066,1
battlefield → picnic_site,battlefield,picnic_site,0.125,0.012,0.2,0.928,0.12,0.0008,8,4863,1
video_shop → travel_agent,video_shop,travel_agent,0.125,0.012,2.16,0.93,0.12,0.0008,8,460,1
bookshop → school,bookshop,school,0.117,0.013,0.74,0.953,0.13,0.0008,436,1257,56
christian_evangelical → pub,christian_evangelical,pub,0.09,0.016,0.98,0.966,0.16,0.0008,67,725,11
shoe_shop → school,shoe_shop,school,0.113,0.014,0.71,0.957,0.14,0.0008,710,1257,97
museum → memorial,museum,memorial,0.102,0.015,0.73,0.948,0.15,0.0008,778,1102,117
supermarket → mobile_phone_shop,supermarket,mobile_phone_shop,0.096,0.016,2.08,0.95,0.16,0.0008,3462,365,568
muslim → artwork,muslim,artwork,0.086,0.017,0.22,0.947,0.17,0.0008,35,3144,6
clothes → doityourself,clothes,doityourself,0.119,0.012,2.01,0.948,0.12,0.0008,3601,469,450
theatre → butcher,theatre,butcher,0.118,0.012,1.3,0.954,0.12,0.0008,346,724,43
newsagent → car_rental,newsagent,car_rental,0.092,0.018,2.55,0.973,0.18,0.0008,239,287,42
artwork → doctors,artwork,doctors,0.09,0.016,0.36,0.963,0.16,0.0008,3144,1979,514
clinic → post_office,clinic,post_office,0.122,0.012,0.72,0.957,0.12,0.0008,246,1345,30
market_place → stationery,market_place,stationery,0.121,0.012,3.88,0.939,0.12,0.0008,140,249,17
community_centre → bicycle_shop,community_centre,bicycle_shop,0.11,0.013,0.68,0.951,0.13,0.0008,410,1276,54
fort → guesthouse,fort,guesthouse,0.125,0.012,1.26,0.978,0.12,0.0008,8,792,1
garden_centre → convenience,garden_centre,convenience,0.105,0.014,0.31,0.941,0.14,0.0008,153,2695,21
convenience → bicycle_rental,convenience,bicycle_rental,0.116,0.013,1.0,0.953,0.13,0.0008,2695,923,359
car_dealership → clothes,car_dealership,clothes,0.063,0.026,0.14,0.976,0.26,0.0008,1021,3601,269
convenience → bookshop,convenience,bookshop,0.107,0.015,1.95,0.951,0.15,0.0008,2695,436,407
dentist → stationery,dentist,stationery,0.116,0.013,3.72,0.947,0.13,0.0008,645,249,86
dentist → sports_shop,dentist,sports_shop,0.105,0.014,0.97,0.959,0.14,0.0008,645,868,92
outdoor_shop → nightclub,outdoor_shop,nightclub,0.078,0.021,2.29,0.961,0.21,0.0008,141,271,29
memorial → pharmacy,memorial,pharmacy,0.103,0.014,0.51,0.959,0.14,0.0008,1102,1593,156
bakery → playground,bakery,playground,0.111,0.014,0.22,0.963,0.14,0.0008,2065,4069,282
monument → kiosk,monument,kiosk,0.107,0.014,0.74,0.969,0.14,0.0008,233,1156,33
cinema → stationery,cinema,stationery,0.12,0.012,3.82,0.957,0.12,0.0008,234,249,29
beauty_shop → toy_shop,beauty_shop,toy_shop,0.117,0.013,4.27,0.952,0.13,0.0008,1258,218,167
fort → restaurant,fort,restaurant,0.125,0.012,0.12,0.937,0.12,0.0008,8,14682,1
chemist → library,chemist,library,0.117,0.013,0.87,0.96,0.13,0.0008,359,1072,46
dentist → furniture_shop,dentist,furniture_shop,0.105,0.015,1.49,0.956,0.15,0.0008,645,562,99
newsagent → pitch,newsagent,pitch,0.1,0.015,0.11,0.976,0.15,0.0008,239,7084,37
computer_shop → school,computer_shop,school,0.112,0.013,0.71,0.96,0.13,0.0008,214,1257,28
archaeological → clothes,archaeological,clothes,0.039,0.042,0.09,0.981,0.42,0.0008,441,3601,186
chemist → playground,chemist,playground,0.117,0.014,0.23,0.96,0.14,0.0008,359,4069,49
furniture_shop → laundry,furniture_shop,laundry,0.11,0.013,2.05,0.958,0.13,0.0008,562,428,74
doityourself → florist,doityourself,florist,0.113,0.014,0.94,0.952,0.14,0.0008,469,953,66
greengrocer → camera_surveillance,greengrocer,camera_surveillance,0.074,0.022,0.15,0.968,0.22,0.0008,95,4037,21
tree → pitch,tree,pitch,0.097,0.016,0.11,0.961,0.16,0.0008,899340,7084,145096
community_centre → optician,community_centre,optician,0.098,0.015,1.0,0.966,0.15,0.0008,410,776,61
cinema → laundry,cinema,laundry,0.111,0.014,2.07,0.955,0.14,0.0008,234,428,33
video_shop → computer_shop,video_shop,computer_shop,0.125,0.012,4.65,0.936,0.12,0.0008,8,214,1
attraction → clothes,attraction,clothes,0.043,0.038,0.1,0.976,0.38,0.0008,1231,3601,463
veterinary → bar,veterinary,bar,0.106,0.014,0.38,0.956,0.14,0.0008,320,2240,44
community_centre → library,community_centre,library,0.117,0.012,0.87,0.945,0.12,0.0008,410,1072,51
car_rental → car_dealership,car_rental,car_dealership,0.111,0.014,0.87,0.944,0.14,0.0008,287,1021,40
kindergarten → doctors,kindergarten,doctors,0.108,0.015,0.44,0.956,0.15,0.0008,1337,1979,198
community_centre → school,community_centre,school,0.115,0.013,0.73,0.946,0.13,0.0008,410,1257,53
park → post_box,park,post_box,0.125,0.012,0.13,0.943,0.12,0.0008,96,7934,12
artwork → beauty_shop,artwork,beauty_shop,0.099,0.016,0.63,0.962,0.16,0.0008,3144,1258,494
hospital → hairdresser,hospital,hairdresser,0.125,0.012,0.21,0.947,0.12,0.0008,24,4634,3
car_rental → artwork,car_rental,artwork,0.101,0.015,0.26,0.966,0.15,0.0008,287,3144,44
mall → butcher,mall,butcher,0.093,0.014,1.02,0.95,0.14,0.0007,43,724,6
mall → pitch,mall,pitch,0.116,0.012,0.13,0.991,0.12,0.0007,43,7084,5
newsagent → nightclub,newsagent,nightclub,0.096,0.015,2.83,0.968,0.15,0.0007,239,271,35
pitch → kindergarten,pitch,kindergarten,0.106,0.013,0.63,0.953,0.13,0.0007,7084,1337,945
pharmacy → railway_station,pharmacy,railway_station,0.113,0.012,0.73,0.952,0.12,0.0007,1593,1226,193
cinema → chemist,cinema,chemist,0.107,0.012,2.37,0.958,0.12,0.0007,234,359,28
public_building → hotel,public_building,hotel,0.074,0.019,0.24,0.965,0.19,0.0007,27,2489,5
cinema → sports_centre,cinema,sports_centre,0.107,0.012,1.09,0.963,0.12,0.0007,234,779,29
computer_shop → laundry,computer_shop,laundry,0.112,0.012,2.09,0.942,0.12,0.0007,214,428,25
doctors → tram_stop,doctors,tram_stop,0.077,0.018,0.49,0.965,0.18,0.0007,1979,1241,355
newsagent → school,newsagent,school,0.113,0.013,0.72,0.948,0.13,0.0007,239,1257,30
monument → cafe,monument,cafe,0.094,0.015,0.23,0.964,0.15,0.0007,233,3316,35
beverages → theatre,beverages,theatre,0.098,0.013,2.25,0.96,0.13,0.0007,430,346,57
wayside_shrine → restaurant,wayside_shrine,restaurant,0.082,0.016,0.08,0.965,0.16,0.0007,1014,14682,160
butcher → bookshop,butcher,bookshop,0.098,0.014,1.79,0.953,0.14,0.0007,724,436,99
